feature,importance
 Source Port,0.03696746901865797
 Destination Port,0.16848951943248477
 Total Backward Packets,0.023482123062227363
 Total Length of Bwd Packets,0.019239863933901525
Bwd Packet Length Max,0.03310648571392877
 Bwd Packet Length Mean,0.04325919621143646
Bwd IAT Total,0.028191837163127686
 Bwd IAT Mean,0.019102312878586356
 Bwd IAT Min,0.018015467034298384
 Bwd Header Length,0.044608319440454444
 Bwd Packets/s,0.06546343331437249
 ACK Flag Count,0.03408354242842269
 URG Flag Count,0.10226832794064795
Subflow Fwd Packets,0.015333885481638092
 Subflow Bwd Packets,0.044952201962471384
 Subflow Bwd Bytes,0.01560068500384073
Init_Win_bytes_forward,0.025303235534077505
 Init_Win_bytes_backward,0.01893937458396481
